#id	label	a1	a2
460_76359	a1	Firefox takes the best of all previous browsers and sticks it all in one neat package. Security and extendibility are some of its top features. And those times when FF seems to eat up a lot of memory? That's just the cache so you're able to surf the net even faster. Just lower the cache if you don't want to eat so much memory.	Firefox of course. And I like this website but I don't find it very clear. This one is better : theworlddebating.com
415_477	a2	Really great arguments why IE is supposed to be a better browser... NOT!	From a design standpoint, Firefox absolutely wins the Pretty Browser battle. <br/> There is such an array of beautiful skins out there for Firefox, and when you add that to the amount of Toolbar and UI customization that Firefox supports, the 'Fox is the clear-cut winner. <br/> And since I assume most of the people debating the superiority of one browser or another are Intraweb junkies, I know everyone uses their browser quite often. <br/> Who wants to look at an ugly UI like that of every IE (7 is the most criminal of them all)?
73058_477	a2	This is being argued? The only thing IE has going for it is that Windows has it pre-installed, and from what I've heard, they're going to get rid of that too. Everything from speed to add-ons, Firefox wins.	From a design standpoint, Firefox absolutely wins the Pretty Browser battle. <br/> There is such an array of beautiful skins out there for Firefox, and when you add that to the amount of Toolbar and UI customization that Firefox supports, the 'Fox is the clear-cut winner. <br/> And since I assume most of the people debating the superiority of one browser or another are Intraweb junkies, I know everyone uses their browser quite often. <br/> Who wants to look at an ugly UI like that of every IE (7 is the most criminal of them all)?
412_460	a2	That form of argument degrades this forum, and will cause the arguments to fall to the lowest common denominator. <br/> This word, "indisputable", I do not think it means what you think it does. I dispute your claim from personal experience, if nothing else. That makes it disputable. I think Yahoo! has chat rooms more attuned to your style of debate. Check them out.	Firefox takes the best of all previous browsers and sticks it all in one neat package. Security and extendibility are some of its top features. And those times when FF seems to eat up a lot of memory? That's just the cache so you're able to surf the net even faster. Just lower the cache if you don't want to eat so much memory.
26798_406	a2	the number of reasons on why ff ie are LISTLESS(:	Amazingly cool skins that let me pimp my browser and a built in spell check along with everything else that IE provides. Can't beat it.
31493_26798	a1	I pity those of you on the other side. The annoying load of pop ups and viruses IE has, yet you continue to use it?! <br/> Main reason I love Firefox has to be the tab option. The last time I checked IE requires you to get up a whole new browser in order search two websites at the same time. It's pointlessss. :/ <br/> OH AND. <br/> Firefox saves the website(s) you were last at in case of a restart or something. Yeah, I don't know, it just has so many cool features I don't have time to list them all.	the number of reasons on why ff ie are LISTLESS(:
397_405	a2	Firefox has nothing to do with apple or Steve Jobs. I'd say you're the fanatical zealot fanboy.	I find that whatever works for a person individually, is good. How would I be able to say something is the best, when, it doesn't work on someone elses computer? I vote for Firefox, because in my experience it has worked multiple times better than Internet Explorer. The config isn't too bad, and those of you who know about:config know what I'm talking about. The tabs are great, and has many good extensions. Though not the best, it is definately superior to Internet Explorer. Especially after the laughable 7 update. ;D
482_419	a1	Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). <br/> And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)	Firebug, WebDeveloper, TabMix, FaviconizeTab, GreaseMonkey, IETab (to use when you visit microsot.com). <br/> Just some reason why i prefer Firefox.
76359_405	a2	Firefox of course. And I like this website but I don't find it very clear. This one is better : theworlddebating.com	I find that whatever works for a person individually, is good. How would I be able to say something is the best, when, it doesn't work on someone elses computer? I vote for Firefox, because in my experience it has worked multiple times better than Internet Explorer. The config isn't too bad, and those of you who know about:config know what I'm talking about. The tabs are great, and has many good extensions. Though not the best, it is definately superior to Internet Explorer. Especially after the laughable 7 update. ;D
412_398	a2	That form of argument degrades this forum, and will cause the arguments to fall to the lowest common denominator. <br/> This word, "indisputable", I do not think it means what you think it does. I dispute your claim from personal experience, if nothing else. That makes it disputable. I think Yahoo! has chat rooms more attuned to your style of debate. Check them out.	I can reconfigure Firefox very easily to meet my needs as my life changes. If I need great SEO extensions I can get them. If I need an HTML color picker instead when I get more involved with other elements of site development, FF is easily remodeled to suit my new browsing needs. The breadth and variety of FF add-ons is a critical advantage.
